xmin,ymin,xmax,ymax,lieu
2.341052,48.91103,2.379522,48.937732,Stade de France
2.27099,48.842849,2.311054,48.869362,Trocadéro
2.331275,48.843456,2.371611,48.870302,Hôtel de ville-Invalides
2.624661,48.849857,2.650518,48.874754,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes
2.340083,48.886165,2.378779,48.901831,Arena Porte de La Chapelle
3.113698,50.601805,3.150131,50.625379,Stade Pierre-Mauroy
2.358484,48.825199,2.398684,48.851901,Arena Bercy
2.301047,48.852312,2.341585,48.879026,Concorde
2.275842,48.843821,2.315423,48.870664,Stade tour Eiffel
2.025492,48.774115,2.054997,48.800602,Stade BMX
2.232093,48.836721,2.265861,48.857089,Stade Roland-Garros
2.501932,48.963051,2.537723,48.980507,Arena Paris Nord
2.624661,48.849857,2.650518,48.874754,Stade nautique-Bassin eau vive
2.025218,48.778611,2.054997,48.800602,Vélodrome national
2.293634,48.850865,2.333993,48.877448,Invalides-Pont Alexandre-III
2.402421,48.923731,2.440156,48.945838,Site d'escalade
2.292082,48.853059,2.332832,48.879176,Grand Palais
2.242667,48.834749,2.271967,48.852338,Parc des Princes
4.373414,45.448484,4.402533,45.47311,Stade Geoffroy-Guichard
-1.540448,47.243822,-1.510628,47.264815,Stade de la Beaujoire
7.181461,43.693413,7.210045,43.712852,Stade de Nice
-0.565385,44.887101,-0.5483,44.891992,Stade de Bordeaux
4.96574,45.761691,5.000457,45.777453,Stade de Lyon
5.379742,43.256713,5.413509,43.28336,Stade de Marseille
2.060164,48.7544,2.075699,48.755343,Golf national
2.272549,48.82586,2.310699,48.843466,Arena Paris Sud
2.235916,48.917978,2.269463,48.936878,Stade Yves-du-Manoir
2.277586,48.842886,2.317678,48.869583,Arena Champ-de-Mars
2.209902,48.882977,2.249925,48.908926,Paris La Défense Arena
2.339915,48.910373,2.373755,48.936755,Centre aquatique
2.293634,48.850865,2.333993,48.877448,Pont Alexandre-III
2.068386,48.806108,2.07147,48.808748,Château de Versailles
2.293634,48.84979,2.333316,48.875562,Invalides
5.359728,43.255945,5.389227,43.279724,Marina de Marseille
1.958614,48.776914,1.985043,48.801414,Colline d'Elancourt
2.272549,48.82586,2.310699,48.843466,Arena Paris Sud 1
2.272549,48.82586,2.310699,48.843466,Arena Paris Sud 6
2.525886,48.897998,2.55798,48.924262,Clichy-sous-Bois
