lieu,longitude,latitude
Trocadéro,2.2914,48.856261999999994
Stade de France,2.3598709999999996,48.924388
Hôtel de ville-Invalides,2.3514149999999994,48.856857999999995
Stade nautique-Bassin eau calme,2.636374,48.862229
Arena Porte de La Chapelle,2.3598642040231956,48.89946713333248
Stade Pierre-Mauroy,3.130437291072136,50.61206917162663
Arena Bercy,2.3784959999999997,48.838649
Concorde,2.3212049999999995,48.865589
Stade tour Eiffel,2.296084,48.857231999999996
Stade BMX,2.034736,48.787260999999994
Stade Roland-Garros,2.2455010000000004,48.847319999999996
Arena Paris Nord,2.52075889419615,48.97109984208225
Stade nautique-Bassin eau vive,2.636374,48.862229
Vélodrome national,2.034987,48.788046
Invalides-Pont Alexandre-III,2.313578721233772,48.863983310546395
Site d'escalade,2.420467,48.937188
Grand Palais,2.3124059999999993,48.866040999999996
Parc des Princes,2.253076,48.841319
Stade Geoffroy-Guichard,4.388981968085903,45.46182128952631
Stade de la Beaujoire,-1.5246671399573153,47.25619781781882
Stade de Nice,7.192,43.72374737377557
Stade de Bordeaux,-0.5616003065920333,44.89757555031454
Stade de Lyon,4.982016535505663,45.76548192859308
Stade de Marseille,5.3958959506192485,43.270082378237255
Golf national,2.0759,48.751095
Arena Paris Sud,2.2904798629886454,48.8301568270296
Stade Yves-du-Manoir,2.249836,48.930873
Arena Champ-de-Mars,2.2978204,48.85614459999999
Paris La Défense Arena,2.2297100000000003,48.89566
Centre aquatique,2.355527,48.923457
Pont Alexandre-III,2.313578721233772,48.863983310546395
Château de Versailles,2.08208,48.815115000000006
Teahupoo,-149.21607680428895,-17.843203943950556
Centre national de tir,1.756653040073435,46.8152813473871
Invalides,2.3132219999999997,48.862286
Marina de Marseille,5.371538132484989,43.2667858261485
Colline d'Elancourt,1.9677759999999997,48.78816200000001
Arena Paris Sud 1,2.2904798629886454,48.8301568270296
Stade Tour Eiffel,2.296084,48.857231999999996
Arena Paris Sud 6,2.2904798629886454,48.8301568270296
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,2.636374,48.862229
Vélodrome National de Saint-Quentin-en-Yvelines,2.034987,48.788046
Clichy-sous-Bois,2.545883278930821,48.91110877224836
Centre National de Tir de Châteauroux,1.756653040073435,46.8152813473871
Pont Alexandre III,2.313578721233772,48.863983310546395
