etablissement,type,lieu,latitude,longitude,xmin,ymin,xmax,ymax
ARUN,Restauration de type rapide,Stade de France,48.912439,2.3584,2.341052,48.91103,2.379522,48.937732
MANGOSTEEN,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
KENTARINE,Restauration de type rapide,Stade de France,48.920952,2.351985,2.341052,48.91103,2.379522,48.937732
CHENG DA,Restauration traditionnelle,Stade de France,48.919803,2.343168,2.341052,48.91103,2.379522,48.937732
RESTAURANT BLESSING,Restauration traditionnelle,Stade de France,48.91718,2.358018,2.341052,48.91103,2.379522,48.937732
L'ATELIER 40,Restauration traditionnelle,Stade de France,48.920483,2.354311,2.341052,48.91103,2.379522,48.937732
KODEX,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
GTM FOOD,Restauration de type rapide,Stade de France,48.915795,2.357256,2.341052,48.91103,2.379522,48.937732
WILSON,Débits de boissons,Stade de France,48.91103,2.35763,2.341052,48.91103,2.379522,48.937732
LE FRONT POPULAIRE,Restauration traditionnelle,Stade de France,48.913237,2.36625,2.341052,48.91103,2.379522,48.937732
SALAI,Restauration de type rapide,Stade de France,48.915391,2.355093,2.341052,48.91103,2.379522,48.937732
SUSHI LOVE,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
AFRO EAT,Restauration de type rapide,Stade de France,48.915391,2.355093,2.341052,48.91103,2.379522,48.937732
KEBAB DU CENTRE VILLE,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
DJESY,Restauration de type rapide,Stade de France,48.911411,2.358784,2.341052,48.91103,2.379522,48.937732
LA MEDITERRANEENNE,Restauration de type rapide,Stade de France,48.913422,2.365386,2.341052,48.91103,2.379522,48.937732
THE VOGUE,Débits de boissons,Stade de France,48.914239,2.357377,2.341052,48.91103,2.379522,48.937732
R.I.O,Restauration traditionnelle,Stade de France,48.915795,2.357256,2.341052,48.91103,2.379522,48.937732
LE PETIT TROU,Débits de boissons,Stade de France,48.914802,2.348611,2.341052,48.91103,2.379522,48.937732
HELL'S KITCHEN,Restauration de type rapide,Stade de France,48.915349,2.364045,2.341052,48.91103,2.379522,48.937732
LA GRANDE BRASSERIE,Débits de boissons,Stade de France,48.919527,2.35449,2.341052,48.91103,2.379522,48.937732
SUSHI YOKINA 168,Restauration traditionnelle,Stade de France,48.916033,2.357237,2.341052,48.91103,2.379522,48.937732
ICAD,Restauration de type rapide,Stade de France,48.9166,2.363654,2.341052,48.91103,2.379522,48.937732
KIMIYO,Restauration traditionnelle,Stade de France,48.917055,2.358028,2.341052,48.91103,2.379522,48.937732
LES BURGERS BROTHER'S,Restauration de type rapide,Stade de France,48.919516,2.344489,2.341052,48.91103,2.379522,48.937732
RAM,Débits de boissons,Stade de France,48.915349,2.363635,2.341052,48.91103,2.379522,48.937732
SEN SAVEURS,Restauration traditionnelle,Stade de France,48.91689,2.355069,2.341052,48.91103,2.379522,48.937732
NEW COURT,Restauration traditionnelle,Stade de France,48.921192,2.362796,2.341052,48.91103,2.379522,48.937732
NEW COURT,Restauration traditionnelle,Stade de France,48.920646,2.363804,2.341052,48.91103,2.379522,48.937732
AFRICAN STEACK HOUSE,Restauration traditionnelle,Stade de France,48.913083,2.365531,2.341052,48.91103,2.379522,48.937732
RESTO LA PLAINE,Restauration de type rapide,Stade de France,48.917109,2.35716,2.341052,48.91103,2.379522,48.937732
LES BONS AMIS,Restauration de type rapide,Stade de France,48.9189,2.363466,2.341052,48.91103,2.379522,48.937732
PIZZA TIME'S,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
LE WILSON,Restauration traditionnelle,Stade de France,48.914755,2.358226,2.341052,48.91103,2.379522,48.937732
LE RAMEAU,Restauration traditionnelle,Stade de France,48.918047,2.366108,2.341052,48.91103,2.379522,48.937732
LE SOLEIL DU CAP VERT,Débits de boissons,Stade de France,48.912039,2.357551,2.341052,48.91103,2.379522,48.937732
ONAD FOOD,Restauration de type rapide,Stade de France,48.914758,2.357335,2.341052,48.91103,2.379522,48.937732
JOUR,Restauration de type rapide,Stade de France,48.920904,2.354899,2.341052,48.91103,2.379522,48.937732
LA MAUVAISE HERBE,Restauration traditionnelle,Stade de France,48.921576,2.361556,2.341052,48.91103,2.379522,48.937732
SERVICES PIZZA,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
MIAM MIAM TROPICAL,Restauration de type rapide,Stade de France,48.918838,2.34409,2.341052,48.91103,2.379522,48.937732
PLAINE EATS,Restauration de type rapide,Stade de France,48.917401,2.357999,2.341052,48.91103,2.379522,48.937732
L'ENVIE DU JOUR,Restauration traditionnelle,Stade de France,48.918838,2.34409,2.341052,48.91103,2.379522,48.937732
SPINACH MFCO,Restauration de type rapide,Stade de France,48.916397,2.361865,2.341052,48.91103,2.379522,48.937732
BERMAG,Débits de boissons,Stade de France,48.914239,2.357377,2.341052,48.91103,2.379522,48.937732
AARON,Débits de boissons,Stade de France,48.921058,2.356215,2.341052,48.91103,2.379522,48.937732
WILSON'S GRILL,Restauration de type rapide,Stade de France,48.914758,2.357335,2.341052,48.91103,2.379522,48.937732
ZAMPALHA,Restauration de type rapide,Stade de France,48.919677,2.344306,2.341052,48.91103,2.379522,48.937732
AQSA,Restauration de type rapide,Stade de France,48.916486,2.362919,2.341052,48.91103,2.379522,48.937732
ZERALDA,Restauration de type rapide,Stade de France,48.918636,2.341802,2.341052,48.91103,2.379522,48.937732
KALK COFFEESHOP,Débits de boissons,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
LA TABLE GOURMANDE,Débits de boissons,Stade de France,48.919432,2.344491,2.341052,48.91103,2.379522,48.937732
HOTESSE,Débits de boissons,Stade de France,48.915506,2.359218,2.341052,48.91103,2.379522,48.937732
CRUST 245,Restauration de type rapide,Stade de France,48.917109,2.35716,2.341052,48.91103,2.379522,48.937732
LA FOURNEE,Restauration de type rapide,Stade de France,48.920592,2.35955,2.341052,48.91103,2.379522,48.937732
TAHA,Restauration de type rapide,Stade de France,48.915431,2.356157,2.341052,48.91103,2.379522,48.937732
YOICHI,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
MON BANH MI,Restauration de type rapide,Stade de France,48.919501,2.344914,2.341052,48.91103,2.379522,48.937732
L'ETOILE DIONYSIENNE,Restauration traditionnelle,Stade de France,48.912039,2.357551,2.341052,48.91103,2.379522,48.937732
H.C.X,Restauration traditionnelle,Stade de France,48.915366,2.358917,2.341052,48.91103,2.379522,48.937732
LA PLAINE SAUVAGE,Restauration traditionnelle,Stade de France,48.911382,2.357603,2.341052,48.91103,2.379522,48.937732
LE VERITABLE STADE,Restauration traditionnelle,Stade de France,48.921192,2.362796,2.341052,48.91103,2.379522,48.937732
AJM,Restauration traditionnelle,Stade de France,48.911085,2.360094,2.341052,48.91103,2.379522,48.937732
COSTA DE PORTUGAL,Restauration de type rapide,Stade de France,48.914318,2.346961,2.341052,48.91103,2.379522,48.937732
CERVEJARIA PORTUGALIA,Restauration traditionnelle,Stade de France,48.923635,2.369229,2.341052,48.91103,2.379522,48.937732
M C H,Restauration de type rapide,Stade de France,48.923783,2.369089,2.341052,48.91103,2.379522,48.937732
L'ETOILE,Restauration de type rapide,Stade de France,48.923702,2.369133,2.341052,48.91103,2.379522,48.937732
ATMM,Restauration de type rapide,Stade de France,48.915380999999996,2.369613,2.341052,48.91103,2.379522,48.937732
SANDWICHERIE LANDY,Restauration de type rapide,Stade de France,48.91542,2.366581,2.341052,48.91103,2.379522,48.937732
IKRAM,Restauration de type rapide,Stade de France,48.915395,2.369106,2.341052,48.91103,2.379522,48.937732
SANDWICHERIE LE BIENVENU,Restauration de type rapide,Stade de France,48.91542,2.366581,2.341052,48.91103,2.379522,48.937732
LANDY DR,Restauration traditionnelle,Stade de France,48.915183,2.367935,2.341052,48.91103,2.379522,48.937732
NEW SOUL FOOD,Restauration de type rapide,Stade de France,48.921682,2.369429,2.341052,48.91103,2.379522,48.937732
SAS RISHEB,Restauration traditionnelle,Stade de France,48.915331,2.366954,2.341052,48.91103,2.379522,48.937732
AU 72,Restauration de type rapide,Stade de France,48.915431,2.367069,2.341052,48.91103,2.379522,48.937732
RESTAURANT LE VIP,Restauration traditionnelle,Stade de France,48.917645,2.366395,2.341052,48.91103,2.379522,48.937732
RESTAURANT BLESSING,Débits de boissons,Stade de France,48.91647,2.366514,2.341052,48.91103,2.379522,48.937732
BURGERLAND,Restauration de type rapide,Stade de France,48.916381,2.368233,2.341052,48.91103,2.379522,48.937732
O72,Restauration de type rapide,Stade de France,48.915431,2.367069,2.341052,48.91103,2.379522,48.937732
DOSSO,Restauration de type rapide,Stade de France,48.91647,2.366514,2.341052,48.91103,2.379522,48.937732
MARINA NEUF TROIS,Restauration traditionnelle,Stade de France,48.917645,2.366395,2.341052,48.91103,2.379522,48.937732
COME,Restauration de type rapide,Stade de France,48.921682,2.369429,2.341052,48.91103,2.379522,48.937732
SARL KERSIGNARE,Restauration de type rapide,Stade de France,48.913535,2.366439,2.341052,48.91103,2.379522,48.937732
UNDEFINED,Restauration de type rapide,Stade de France,48.916721,2.368449,2.341052,48.91103,2.379522,48.937732
CHEZ MARIKO,Restauration traditionnelle,Stade de France,48.91647,2.366514,2.341052,48.91103,2.379522,48.937732
KENO FOOD,Restauration traditionnelle,Stade de France,48.916381,2.368233,2.341052,48.91103,2.379522,48.937732
FAST-FOOD-FACTORY,Restauration de type rapide,Stade de France,48.921682,2.369429,2.341052,48.91103,2.379522,48.937732
BSS FOOD,Restauration de type rapide,Stade de France,48.915431,2.367069,2.341052,48.91103,2.379522,48.937732
MA FOODS,Restauration de type rapide,Stade de France,48.915431,2.367069,2.341052,48.91103,2.379522,48.937732
SARL SABRINA,Restauration traditionnelle,Stade de France,48.915635,2.374106,2.341052,48.91103,2.379522,48.937732
LE GOURMET,Restauration de type rapide,Stade de France,48.915395,2.369106,2.341052,48.91103,2.379522,48.937732
