lieu,type,pct,place
Arena Bercy,"Cuisine française :
brasserie, café, auberge...",6.809338521400778,1
Arena Bercy,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",7.782101167315175,2
Arena Bercy,"Junk food :
McDo, KFC, Burger King...",3.3073929961089497,3
Arena Champ-de-Mars,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",5.74468085106383,1
Arena Champ-de-Mars,"Cuisine française :
brasserie, café, auberge...",8.01418439716312,2
Arena Champ-de-Mars,"Junk food :
McDo, KFC, Burger King...",2.553191489361702,3
Arena Paris Nord,"Junk food :
McDo, KFC, Burger King...",8.695652173913043,1
Arena Paris Nord,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",13.043478260869565,2
Arena Paris Nord,"Cuisine française :
brasserie, café, auberge...",4.3478260869565215,3
Arena Paris Sud,"Cuisine française :
brasserie, café, auberge...",6.18705035971223,1
Arena Paris Sud,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",7.913669064748201,2
Arena Paris Sud,"Junk food :
McDo, KFC, Burger King...",3.0215827338129495,3
Arena Paris Sud 1,"Cuisine française :
brasserie, café, auberge...",6.18705035971223,1
Arena Paris Sud 1,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",7.913669064748201,2
Arena Paris Sud 1,"Junk food :
McDo, KFC, Burger King...",3.0215827338129495,3
Arena Paris Sud 6,"Cuisine française :
brasserie, café, auberge...",6.18705035971223,1
Arena Paris Sud 6,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",7.913669064748201,2
Arena Paris Sud 6,"Junk food :
McDo, KFC, Burger King...",3.0215827338129495,3
Arena Porte de La Chapelle,"Cuisine française :
brasserie, café, auberge...",5.900948366701791,1
Arena Porte de La Chapelle,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",6.42781875658588,2
Arena Porte de La Chapelle,"Junk food :
McDo, KFC, Burger King...",3.5827186512118017,3
Centre aquatique,"Junk food :
McDo, KFC, Burger King...",6.25,1
Centre aquatique,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",10.775862068965516,2
Centre aquatique,"Cuisine française :
brasserie, café, auberge...",3.2327586206896552,3
Château de Versailles,"Cuisine française :
brasserie, café, auberge...",0,1
Château de Versailles,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",60,2
Château de Versailles,"Junk food :
McDo, KFC, Burger King...",0,3
Clichy-sous-Bois,"Junk food :
McDo, KFC, Burger King...",9.146341463414634,1
Clichy-sous-Bois,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",13.414634146341465,2
Clichy-sous-Bois,"Cuisine française :
brasserie, café, auberge...",6.707317073170732,3
Colline d'Elancourt,"Junk food :
McDo, KFC, Burger King...",18.75,1
Colline d'Elancourt,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",18.75,2
Colline d'Elancourt,"Cuisine française :
brasserie, café, auberge...",3.125,3
