lieu,discipline,n
Stade de France,Athlétisme,126
Stade de France,Para Athlétisme,237
Stade de France,Rugby,24
Trocadéro,Athlétisme,3
Trocadéro,Cyclisme sur route,2
Hôtel de ville-Invalides,Athlétisme,2
Stade nautique-Bassin eau calme,Aviron,78
Stade nautique-Bassin eau calme,Canoë course en ligne,20
Arena Porte de La Chapelle,Badminton,85
Arena Porte de La Chapelle,Gymnastique rythmique,5
Arena Porte de La Chapelle,Para Badminton,108
Arena Porte de La Chapelle,Para haltérophilie,20
Stade Pierre-Mauroy,Basketball,27
Stade Pierre-Mauroy,Handball,16
Arena Bercy,Basket Fauteuil,45
Arena Bercy,Basketball,16
Arena Bercy,Gymnastique artistique,14
Arena Bercy,Gymnastique trampoline,4
Concorde,BMX Freestyle,4
Concorde,Basketball 3x3,33
Concorde,Breaking,4
Concorde,Skateboard,8
Stade tour Eiffel,Beach Volleyball,43
Stade BMX,BMX Racing,8
Stade Roland-Garros,Boxe,38
Stade Roland-Garros,Tennis,107
Stade Roland-Garros,Tennis fauteuil,46
Arena Paris Nord,Boxe,208
Arena Paris Nord,Pentathlon moderne,2
Arena Paris Nord,Volleyball assis,34
Stade nautique-Bassin eau vive,Canoë course en ligne,27
Stade nautique-Bassin eau vive,Canoë slalom,28
Vélodrome national,Cyclisme sur piste,56
Invalides-Pont Alexandre-III,Cyclisme sur route,2
Site d'escalade,Escalade,10
Grand Palais,Escrime,84
Grand Palais,Para Taekwondo,60
Grand Palais,Taekwondo,24
Grand Palais,escrime fauteuil,140
Parc des Princes,Football,10
Stade Geoffroy-Guichard,Football,6
Stade de la Beaujoire,Football,8
Stade de Nice,Football,6
Stade de Bordeaux,Football,7
Stade de Lyon,Football,11
Stade de Marseille,Football,10
Golf national,Golf,8
Arena Paris Sud,Boccia,21
Arena Paris Sud,Haltérophilie,10
Arena Paris Sud,Handball,30
Arena Paris Sud,Para Tennis de Table,125
Arena Paris Sud,Tennis de table,45
Arena Paris Sud,Volleyball,52
Stade Yves-du-Manoir,Hockey,46
Arena Champ-de-Mars,Judo,75
Arena Champ-de-Mars,Lutte,108
Arena Champ-de-Mars,Para Judo,112
Arena Champ-de-Mars,rugby fauteuil,14
Paris La Défense Arena,Natation,90
Paris La Défense Arena,Para Natation,282
Paris La Défense Arena,Water-polo,22
Centre aquatique,Natation artistique,5
Centre aquatique,Plongeon,16
Centre aquatique,Water-polo,22
Pont Alexandre-III,Natation marathon,2
Pont Alexandre-III,Triathlon,3
Château de Versailles,Para équitation,2
Château de Versailles,Pentathlon moderne,4
Château de Versailles,Sports équestres,11
Teahupoo,Surf,14
Centre national de tir,Tir,34
Invalides,Para Athlétisme,4
Invalides,Para Tir à l’arc,55
Invalides,Tir à l'arc,51
Marina de Marseille,Voile,53
Colline d'Elancourt,VTT,2
Arena Paris Sud 1,Boccia,58
Stade Tour Eiffel,Cécifoot,10
Arena Paris Sud 6,Goalball,38
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,Para Aviron,20
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,Para Canoë,35
Vélodrome National de Saint-Quentin-en-Yvelines,para cyclisme sur piste,30
Clichy-sous-Bois,Para cyclisme sur route,34
Centre National de Tir de Châteauroux,Para Tir sportif,27
Pont Alexandre III,Para Triathlon,15
