x,y,discipline,image,lieu,n,present
3,0,Water-polo,icones/Water-polo.svg,Quais de Seine,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade de France,NA,non
3,0,Water-polo,icones/Water-polo.svg,Trocadéro,NA,non
3,0,Water-polo,icones/Water-polo.svg,Hôtel de ville-Invalides,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade nautique-Bassin eau calme,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Porte de La Chapelle,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade Pierre-Mauroy,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Bercy,NA,non
3,0,Water-polo,icones/Water-polo.svg,Concorde,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade tour Eiffel,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade BMX,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade Roland-Garros,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Paris Nord,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade nautique-Bassin eau vive,NA,non
3,0,Water-polo,icones/Water-polo.svg,Vélodrome national,NA,non
3,0,Water-polo,icones/Water-polo.svg,Invalides-Pont Alexandre-III,NA,non
3,0,Water-polo,icones/Water-polo.svg,Site d'escalade,NA,non
3,0,Water-polo,icones/Water-polo.svg,Grand Palais,NA,non
3,0,Water-polo,icones/Water-polo.svg,Parc des Princes,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade Geoffroy-Guichard,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade de la Beaujoire,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade de Nice,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade de Bordeaux,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade de Lyon,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade de Marseille,NA,non
3,0,Water-polo,icones/Water-polo.svg,Golf national,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Paris Sud,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade Yves-du-Manoir,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Champ-de-Mars,NA,non
3,0,Water-polo,icones/Water-polo.svg,Paris La Défense Arena,22,oui
3,0,Water-polo,icones/Water-polo.svg,Centre aquatique,22,oui
3,0,Water-polo,icones/Water-polo.svg,Pont Alexandre-III,NA,non
3,0,Water-polo,icones/Water-polo.svg,Château de Versailles,NA,non
3,0,Water-polo,icones/Water-polo.svg,Teahupoo,NA,non
3,0,Water-polo,icones/Water-polo.svg,Centre national de tir,NA,non
3,0,Water-polo,icones/Water-polo.svg,Invalides,NA,non
3,0,Water-polo,icones/Water-polo.svg,Marina de Marseille,NA,non
